Domain,User Name,Disk Space Used,Is Suspended,NS ,A record,Subdomains,Addon Domains,A_addon,Sucuri Firewall,Zimbra/Gsuite/O365 split delivery,TTL Lowered,Migration Date,Pre-Migration Email,Tesing beror migration,Migration status,Testing After Migration,Change NS,Change server from WHMCS,SpamFilter Rout,Post-Migration Email,Suspending on LS41,Notes
1stglobalcal.com,stglobal,357,,,185.230.63.107,,,,,,Done,17/04/2025,Done,work,Done,work,Done,Done,Done,Done,Done,
3sss.ly,sssly,27,,,,,,,,,Done,17/04/2025,Done,work,Done,work,Done,Done,Done,Done,Done,
90sr.ly,srly12,319,,,,db.90sr.ly - work, ,,,,Done,17/04/2025,Done,work,Done,work,Done,Done,Done,Done,Done,
aa-storage.ly,aastorag,163,,,,asem.aa-storage.ly - dowsn't work, ,,,,Done,17/04/2025,Done,LS Default  ,Done,work,Done,Done,Done,Done,Done,
aacma.com.ly,aacmacom,15,,,,,,,,,Done,17/04/2025,Done,LS Default  ,Done,work,Done,Done,Done,Done,Done,
aafaq.ly,aafaqly,4,,,,,,,,,Done,17/04/2025,Done,LS Default  ,Done,work,Done,Done,Done,Done,Done,
aajsr.com,aajsrcom,1054,,,,,,,,,Done,17/04/2025,Done,work,Done,work,Done,Done,Done,Done,Done,
aatc.com.ly,aatccoml,1411,,,,,,,,,Done,17/04/2025,Done,work,Done,work,Done,Done,Done,Done,Done,
abgroup.ly,abgroupl,253,1,,,,,,,,Done,17/04/2025,Done,No need,Done,work,Done,Done,Done,Done,Done,
abogs.ly,abogs,18530,,,,,,,,,Done,17/04/2025,Done,work,Done,work,Done,Done,Done,Done,Done,
abressahel.ly,abressah,207,1,,,,,,,,Done,17/04/2025,Done,No need,Done,No need,Done,Done,Done,Done,Done,
aburgayagroup.com,aburgaya,2539,,,,,,,,,Done,17/04/2025,Done,work,Done,work,Done,Done,Done,Done,Done,
acacus-int.com,acacusin,5,1,,,,,,,,Done,17/04/2025,Done,No need,Done,No need,Done,Done,Done,Done,Done,
acacusgate.ly,acacusg1,9,,,,,,,,,Done,17/04/2025,Done,LS Default  ,Done,work,Done,Done,Done,Done,Done,
accounting-studies.ly,account1,550,,,,luaa.ly.accounting-studies.ly - doesn't work, ,,,,Done,17/04/2025,Done,work,Done,work,Done,Done,Done,Done,Done,
acit.ly,acitly,1411,,rick.ns.cloudflare.com. elle.ns.cloudflare.com.,,"storage.acit.ly 156.38.58.4,  - work
ticket.acit.ly 104.21.94.202 172.67.139.188 - work"," ,  ",,,,Done,17/04/2025,Done,work,Done,,,,,Done,,
acra.ly,acraly,123,1,,,,,,,,Done,17/04/2025,Done,No need,Done,No need,Done,Done,Done,Done,Done,
adad.ly,adadly,3,,,,,,,,,Done,17/04/2025,Done,LS Default  ,Done,work,Done,Done,Done,Done,Done,
addali.ly,addalily,254,1,,,,,,,,Done,17/04/2025,Done,No need,Done,No need,Done,Done,Done,Done,Done,
adex.ly,adexly,761,1,,,portal.adex.ly - LS Default  , ,,,,Done,17/04/2025,Done,No need,Done,No need,Done,Done,Done,Done,Done,
adfw.ly,adfwly,10,,,,,,,,,Done,17/04/2025,Done,LS Default  ,Done,work,Done,Done,Done,Done,Done,
afak.ly,afakly,2,,,,,,,,,Done,17/04/2025,Done,LS Default  ,Done,work,Done,Done,Done,Done,Done,
afaq-libya.com,wwwafaql,6259,,,,,,,,,Done,17/04/2025,Done,work,Done,work,Ticket 789194,Done,Done,Done,Done,
afaqlibya.ly,afaq,147552,,,,,,,,,Done,17/04/2025,Done,work,Done, work,Done,Done,Done,Done,Done,
afarm.ly,afarmly,500,,,,,,,,,Done,17/04/2025,Done,work,Done,work,Done,Done,Done,Done,Done,
afkar.ly,afkarly1,124,,,,,,,,,Done,17/04/2025,Done,LS Default  ,Done,work,Done,Done,Done,Done,Done,
afsolutions.ly,afsoluti,570,,,,"mof.afsolutions.ly - work , lib.afsolutions.ly - doesn't work"," ,  ",,,,Done,17/04/2025,Done,Doesn't work,Done,work,Done,Done,Done,Done,Done,
aga.ly,agaly,5,,,,,,,,,Done,17/04/2025,Done,work,Done,work,Done,Done,Done,Done,Done,
agailigroup.com,agailigr,31,,,,,,,,,Done,17/04/2025,Done,work,Done,work,Done,Done,Done,Done,Done,
agconstruction.ly,agconstr,193,,,,,,,,,Done,17/04/2025,Done,work,Done,work,Done,Done,Done,Done,Done,
agritech.com.ly,agritech,35,,,,,,,,,Done,17/04/2025,Done,LS Default  ,Done,work,Done,Done,Done,Done,Done,
agroexpo.ly,agroliby,2850,,,,,,,,,Done,17/04/2025,Done,work,Done,work,Done,Done,Done,Done,Done,
ahedgroup.ly,ahedgrou,115,1,,,,,,,,Done,17/04/2025,Done,No need,Done,No need,Done,Done,Done,Done,Done,
ahlan.com.ly,ahlancom,3325,,,,elaf.group.ahlan.com.ly - work, ,,,,Done,17/04/2025,Done,LS Default  ,Done,work,Done,Done,Done,Done,Done,
ahmeda.com.ly,ahmedac1,991,,,,"administrationhospital.ahmeda.com.ly  - work , hospitalemployee.ahmeda.com.ly - work , codyapp.ahmeda.com.ly - work",d,,,,Done,17/04/2025,Done,work,Done,work,Done,Done,Done,Done,Done,
ahmedalnaqib.com,ahmedaln,2499,1,,,"d.ahmedalnaqib.com - doesn't work , h.ahmedalnaqib.com - doesn't work , university.ahmedalnaqib.com - doesn't work"," ,  ,  ",,,,Done,17/04/2025,Done,No need,Done,No need,Done,Done,Done,Done,Done,
ahmedarab.ly,ahmedar1,849,,,,cloud.ahmedarab.ly - work, ,,,,Done,17/04/2025,Done,LS Default  ,Done,work,Done,Done,Done,Done,Done,
ahmedjalal.ly,ahmedjal,3645,,,,"blog.ahmedjalal.ly - doesn't work , app.ahmedjalal.ly - doesn't work"," ,  ",,,,Done,17/04/2025,Done,work,Done,work,Done,Done,Done,Done,Done,
ahmida.ly,ahmidaly,750,,,,mymoodle.ahmida.ly  - work, ,,,,Done,17/04/2025,Done,work,Done,work,Done,Done,Done,Done,Done,
aies.ly,aiesly,153,,,,,,,,,Done,17/04/2025,Done,LS Default  ,Done,work,Done,Done,Done,Done,Done,
ain-almashreq.com,ainalmas,12,,,,,,,,,Done,17/04/2025,Done,LS Default  ,Done,work,Done,Done,Done,Done,Done,
airspeed.ly,airspeed,4,,,,,,,,,Done,17/04/2025,Done,LS Default  ,Done,work,Done,Done,Done,Done,Done,
aitss.ly,aitssly,3359,,,,,,,,,Done,17/04/2025,Done,work,Done,work,Done,Done,Done,Done,Done,
aiu.edu.ly,aiueduly,10611,,ns1.ns.ly. ns2.ns.ly. ns3.ns.ly. ns4.ns.ly.,,,,,,,Done,20/4/2025,Done,work,Done,Done,No-need,Done,Done,Done,Done,
aiut.edu.ly,aiutedul,390,,,,,,,,,Done,20/4/2025,Done,work,Done,Done,Done,Done,Done,Done,Done,
ajnec.com,ajneccom,1047,,,,demo.ajnec.com , ,,,,Done,20/4/2025,Done,work - work,Done,Done,Done,Done,Done,Done,Done,
ajwadmid.ly,ajwadmid,10,1,,,,,,,,Done,20/4/2025,Done,No need,Done ,No need,No-need,Done,Done,Done,Done,
ajwatours.com.ly,ajwatour,28,,,,,,,,,Done,20/4/2025,Done,LS Default  ,Done,Done,Done,Done,Done,Done,Done,
ajwafm.ly,ajwafmly,11,,,,,,,,,Done,20/4/2025,Done,work,Done,Done,Done,Done,Done,Done,Done,
ajyallibya.ly,ajyallib,147,1,,,,,,,,Done,20/4/2025,Done,No need,Done,----,No-need,Done,Done,Done,Done,
